target,mean_IRR,power,n
0.606530659712633,0.601774076648715,0.995,500
0.612626394184416,0.610842093389996,0.993,500
0.618783391806141,0.619911489387798,0.992,500
0.625002268282701,0.620981435851153,0.991,500
0.631283645506926,0.627654122583734,0.988,500
0.637628151621773,0.635621908508972,0.983,500
0.644036421083141,0.641967937166457,0.982,500
0.650509094723317,0.649175595578017,0.98,500
0.657046819815057,0.654557740622526,0.962,500
0.663650250136319,0.662322756977181,0.965,500
0.670320046035639,0.671873021504326,0.949,500
0.677056874498165,0.679428155076785,0.944,500
0.683861409212356,0.682246681472038,0.945,500
0.690734330637355,0.688088910956475,0.937,500
0.697676326071031,0.700302765725804,0.912,500
0.704688089718713,0.704387378730126,0.91,500
0.71177032276261,0.713754257525195,0.88,500
0.718923733431926,0.721365621097805,0.871,500
0.726149037073691,0.725528537903809,0.863,500
0.733446956224289,0.73335291896325,0.849,500
0.740818220681718,0.737184880654996,0.826,500
0.748263567578565,0.752322007268733,0.782,500
0.755783741455725,0.752495110688119,0.774,500
0.763379494336853,0.760078383951905,0.711,500
0.771051585803566,0.775213938449917,0.658,500
0.778800783071405,0.774878121957463,0.679,500
0.786627861066553,0.779843932735049,0.672,500
0.794533602503334,0.795950928347779,0.594,500
0.802518797962479,0.800002939287151,0.576,500
0.810584245970187,0.812406091732509,0.526,500
0.818730753077982,0.819758294782774,0.49,500
0.826959133943362,0.829356214261897,0.431,500
0.835270211411272,0.839187983392099,0.39,500
0.843664816596384,0.848248867679387,0.358,500
0.852143788966211,0.848935934142546,0.363,500
0.860707976425058,0.858138549165935,0.321,500
0.869358235398806,0.866827283182253,0.292,500
0.878095430920561,0.878990255140135,0.243,500
0.886920436717158,0.886768276064194,0.226,500
0.895834135296528,0.892787412816297,0.212,500
0.90483741803596,0.903957746935672,0.171,500
0.913931185271228,0.910758539261315,0.159,500
0.923116346386636,0.92392676886676,0.114,500
0.932393819905948,0.934179141145448,0.086,500
0.941764533584249,0.940842399934292,0.101,500
0.951229424500714,0.94967671748453,0.083,500
0.960789439152323,0.959170999937933,0.075,500
0.970445533548508,0.970934605271093,0.075,500
0.980198673306755,0.978373469141463,0.043,500
0.990049833749168,0.997497443035876,0.054,500
1,1.00061683641383,0.042,500
0.606530659712633,0.603962724566429,1,600
0.612626394184416,0.612389713656694,0.999,600
0.618783391806141,0.616094384521622,1,600
0.625002268282701,0.621407732055633,0.996,600
0.631283645506926,0.633320384333956,0.997,600
0.637628151621773,0.636584139590475,0.993,600
0.644036421083141,0.641896802182564,0.995,600
0.650509094723317,0.645945846643658,0.99,600
0.657046819815057,0.655523226596434,0.985,600
0.663650250136319,0.664884108564446,0.98,600
0.670320046035639,0.671202624368994,0.977,600
0.677056874498165,0.679115793008214,0.976,600
0.683861409212356,0.684124409046573,0.97,600
0.690734330637355,0.692054216277905,0.961,600
0.697676326071031,0.698379901089682,0.953,600
0.704688089718713,0.703160095647563,0.949,600
0.71177032276261,0.712364629165866,0.939,600
0.718923733431926,0.718240759715613,0.918,600
0.726149037073691,0.723181672047431,0.907,600
0.733446956224289,0.730655653528031,0.912,600
0.740818220681718,0.740680486775422,0.88,600
0.748263567578565,0.746720880149236,0.856,600
0.755783741455725,0.75434931075335,0.828,600
0.763379494336853,0.762974593520424,0.803,600
0.771051585803566,0.769634772913763,0.769,600
0.778800783071405,0.781354963756296,0.741,600
0.786627861066553,0.783022988839649,0.715,600
0.794533602503334,0.798741850599829,0.665,600
0.802518797962479,0.807956006550389,0.613,600
0.810584245970187,0.808890390745045,0.611,600
0.818730753077982,0.816079967285354,0.572,600
0.826959133943362,0.8287653714421,0.512,600
0.835270211411272,0.836385868600405,0.487,600
0.843664816596384,0.844477853051709,0.434,600
0.852143788966211,0.854686293248466,0.387,600
0.860707976425058,0.857002705606909,0.371,600
0.869358235398806,0.865299866464823,0.348,600
0.878095430920561,0.87471115304398,0.292,600
0.886920436717158,0.88702801573907,0.266,600
0.895834135296528,0.89202167793153,0.232,600
0.90483741803596,0.902887775131991,0.199,600
0.913931185271228,0.912329675049335,0.154,600
0.923116346386636,0.924949745761498,0.13,600
0.932393819905948,0.935170938780595,0.118,600
0.941764533584249,0.939190379730841,0.107,600
0.951229424500714,0.950202223085174,0.088,600
0.960789439152323,0.958878361097607,0.068,600
0.970445533548508,0.976478185579216,0.047,600
0.980198673306755,0.975209431130885,0.058,600
0.990049833749168,0.988988596656072,0.047,600
1,1.00272417989285,0.056,600
0.606530659712633,0.606404595667876,1,700
0.612626394184416,0.609936610474468,1,700
0.618783391806141,0.616820548938735,1,700
0.625002268282701,0.619013958872814,1,700
